locality,trip_category,count
Ħal Luqa,Shopping,22
Ħal Qormi,Commuting to work,26
Ħal Qormi,Education,13
Ħal Qormi,Medical Purpose,4
Ħal Qormi,Others,102
Ħal Qormi,Personal Errands,18
Ħal Qormi,Recreation,106
Ħal Qormi,Shopping,47
Ħal Safi,Commuting to work,1
Ħal Safi,Education,4
Ħal Safi,Others,49
Ħal Safi,Personal Errands,7
Ħal Safi,Recreation,24
Ħal Safi,Shopping,3
Ħal Tarxien,Commuting to work,1
Ħal Tarxien,Education,8
Ħal Tarxien,Medical Purpose,4
Ħal Tarxien,Others,38
Ħal Tarxien,Personal Errands,10
Ħal Tarxien,Recreation,55
Ħal Tarxien,Shopping,19
Ħaż-Żabbar,Commuting to work,13
Ħaż-Żabbar,Education,6
Ħaż-Żabbar,Medical Purpose,11
Ħaż-Żabbar,Others,78
Ħaż-Żabbar,Personal Errands,19
Ħaż-Żabbar,Recreation,136
Ħaż-Żabbar,Shopping,41
Ħaż-Żebbuġ,Commuting to work,6
Ħaż-Żebbuġ,Education,8
Ħaż-Żebbuġ,Medical Purpose,5
Ħaż-Żebbuġ,Others,152
Ħaż-Żebbuġ,Personal Errands,21
Ħaż-Żebbuġ,Recreation,171
Ħaż-Żebbuġ,Shopping,36
,Others,140
,Personal Errands,1
,Recreation,115
,Shopping,1
